Name,URL,BaseModel,BaseModel,BaseExtractor,Name,URL,BaseModel,BaseModel,BaseExtractor,,50Tokenizer,50TokenizerFast,AdaptiveEmbedding,AudioConfig,AudioForAudioFrameClassification,AudioForCTC,AudioForSequenceClassification,AudioForXVector,AudioModel,AudioPostprocessor,AudioPreprocessor,BaseModel,BaseModel,BaseModelOutput,BasicDecoder,BasicVideoAutoencodingDecoder,CTCTokenizer,ClassificationDecoder,ClassificationPostprocessor,Config,ContextEncoder,ContextEncoderOutput,ContextEncoderTokenizer,ContextEncoderTokenizerFast,DecodeHead,Decoder,DecoderWithLMOutput,DoubleHeadsModel,DoubleHeadsModelOutput,Embedder,Encoder,EncoderBaseModelOutput,EncoderModel,FeatureExtractor,ForAudioFrameClassification,ForCTC,ForCausalImageModeling,ForCausalLM,ForConditionalGeneration,ForDepthEstimation,ForEntityClassification,ForEntityPairClassification,ForEntitySpanClassification,ForImageAndTextRetrieval,ForImageClassification,ForImageClassificationConvProcessing,ForImageClassificationFourier,ForImageClassificationLearned,ForImageClassificationWithTeacher,ForImagesAndTextClassification,ForInstanceSegmentation,ForMaskedImageModeling,ForMaskedLM,ForMultimodalAutoencoding,ForMultipleChoice,ForNextSentencePrediction,ForObjectDetection,ForOpenQA,ForOpticalFlow,ForPreTraining,ForPreTrainingOutput,ForQuestionAnswering,ForQuestionAnsweringOutput,ForQuestionAnsweringSimple,ForRegionToPhraseAlignment,ForSegmentation,ForSemanticSegmentation,ForSequenceClassification,ForTokenClassification,ForVisualReasoning,ForXVector,GPT2Model,ImageCodebook,ImageCodebookConfig,ImageConfig,ImageModel,ImagePreprocessor,KnowledgeAugEncoder,LMHeadModel,MTModel,Model,ModelForAudioClassification,ModelForAudioFrameClassification,ModelForAudioXVector,ModelForCTC,ModelForCausalLM,ModelForImageClassification,ModelForImageSegmentation,ModelForInstanceSegmentation,ModelForMaskedImageModeling,ModelForMaskedLM,ModelForMultipleChoice,ModelForNextSentencePrediction,ModelForObjectDetection,ModelForPreTraining,ModelForQuestionAnswering,ModelForSemanticSegmentation,ModelForSeq2SeqLM,ModelForSequenceClassification,ModelForSpeechSeq2Seq,ModelForTableQuestionAnswering,ModelForTokenClassification,ModelForVision2Seq,ModelOutput,ModelOutputWithPooling,ModelWithLMHead,MultimodalConfig,MultimodalDecoder,MultimodalModel,MultimodalPostprocessor,MultimodalPreprocessor,OneHotPreprocessor,OpticalFlowDecoder,PreTrainedModel,Processor,ProcessorWithLM,ProjectionDecoder,ProjectionPostprocessor,QuestionEncoder,QuestionEncoderTokenizer,QuestionEncoderTokenizerFast,Reader,ReaderTokenizer,ReaderTokenizerFast,RetrievAugLMMarginOutput,Retriever,Scorer,Seq2SeqLMOutput,SequenceForGeneration,Speech2Text2ForCausalLM,Speech2Text2Processor,Speech2Text2Tokenizer,Speech2TextFeatureExtractor,Speech2TextForConditionalGeneration,Speech2TextModel,Speech2TextProcessor,Speech2TextTokenizer,T5Tokenizer,T5TokenizerFast,TapasConfig,TapasForMaskedLM,TapasForQuestionAnswering,TapasForSequenceClassification,TapasModel,TapasTokenizer,TextConfig,TextForCausalLM,TextForMaskedLM,TextForMultipleChoice,TextForQuestionAnswering,TextForSequenceClassification,TextForTokenClassification,TextModel,TextPreprocessor,TokenForGeneration,Tokenizer,TokenizerFast,VisionConfig,VisionForImageClassification,VisionForSemanticSegmentation,VisionModel,WithLMHeadModel
Data2Vec,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/data2vec,"""hf-internal-testing/librispeech_asr_demo""",False,"""clean""",Data2Vec,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/data2vec,"""hf-internal-testing/librispeech_asr_demo""",False,"""clean""",True,False,False,False,True,True,True,True,True,True,False,False,"""hf-internal-testing/librispeech_asr_demo""",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,False
DeBERTa,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/deberta,"""microsoft/deberta-base""",False,"""microsoft/deberta-base""",DeBERTa,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/deberta,"""microsoft/deberta-base""",False,"""microsoft/deberta-base""",False,False,False,False,False,False,False,False,False,False,False,False,"""microsoft/deberta-base""",False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
DeBERTa-v2,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/deberta-v2,"""microsoft/deberta-v2-xlarge""",False,"""microsoft/deberta-v2-xlarge""",DeBERTa-v2,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/deberta-v2,"""microsoft/deberta-v2-xlarge""",False,"""microsoft/deberta-v2-xlarge""",False,False,False,False,False,False,False,False,False,False,False,False,"""microsoft/deberta-v2-xlarge""",False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
Decision Transformer,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/decision_transformer,"""edbeeching/decision-transformer-gym-hopper-medium""",False,"""Hopper-v3""",Decision Transformer,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/decision_transformer,"""edbeeching/decision-transformer-gym-hopper-medium""",False,"""Hopper-v3""",False,False,False,False,False,False,False,False,False,False,False,False,"""edbeeching/decision-transformer-gym-hopper-medium""",False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
DeiT,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/deit,"""huggingface/cats-image""",False,"""test""",DeiT,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/deit,"""huggingface/cats-image""",False,"""test""",True,False,False,False,False,False,False,False,False,False,False,False,"""huggingface/cats-image""",False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
DETR,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/detr,"""http://images.cocodataset.org/val2017/000000039769.jpg""",False,"""facebook/detr-resnet-50""",DETR,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/detr,"""http://images.cocodataset.org/val2017/000000039769.jpg""",False,"""facebook/detr-resnet-50""",False,False,False,False,False,False,False,False,False,False,False,False,"""http://images.cocodataset.org/val2017/000000039769.jpg""",False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
DistilBERT,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/distilbert,"""distilbert-base-uncased""",False,"""distilbert-base-uncased""",DistilBERT,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/distilbert,"""distilbert-base-uncased""",False,"""distilbert-base-uncased""",False,False,False,False,False,False,False,False,False,False,False,False,"""distilbert-base-uncased""",False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
DPR,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/dpr,"""facebook/dpr-ctx_encoder-single-nq-base""",False,"""facebook/dpr-ctx_encoder-single-nq-base""",DPR,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/dpr,"""facebook/dpr-ctx_encoder-single-nq-base""",False,"""facebook/dpr-ctx_encoder-single-nq-base""",True,False,False,False,False,False,False,False,False,False,False,False,"""facebook/dpr-ctx_encoder-single-nq-base""",False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
DPT,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/dpt,"""huggingface/cats-image""",False,"""test""",DPT,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/dpt,"""huggingface/cats-image""",False,"""test""",True,False,False,False,False,False,False,False,False,False,False,False,"""huggingface/cats-image""",False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ELECTRA,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/electra,"""google/electra-small-discriminator""",False,"""google/electra-small-discriminator""",ELECTRA,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/electra,"""google/electra-small-discriminator""",False,"""google/electra-small-discriminator""",False,False,False,False,False,False,False,False,False,False,False,False,"""google/electra-small-discriminator""",False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
Encoder Decoder Models,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/encoder-decoder,"""patrickvonplaten/bert2bert-cnn_dailymail-fp16""",False,"""./encoder""",Encoder Decoder Models,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/encoder-decoder,"""patrickvonplaten/bert2bert-cnn_dailymail-fp16""",False,"""./encoder""",False,False,False,False,False,False,False,False,False,False,False,False,"""patrickvonplaten/bert2bert-cnn_dailymail-fp16""",False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FlauBERT,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/flaubert,"""flaubert/flaubert_base_cased""",False,"""flaubert/flaubert_base_cased""",FlauBERT,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/flaubert,"""flaubert/flaubert_base_cased""",False,"""flaubert/flaubert_base_cased""",False,False,False,False,False,False,False,False,False,False,False,False,"""flaubert/flaubert_base_cased""",False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
FLAVA,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/flava,"""facebook/flava-full""",False,"""facebook/flava-full""",FLAVA,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/flava,"""facebook/flava-full""",False,"""facebook/flava-full""",False,False,False,False,False,False,False,False,False,False,False,False,"""facebook/flava-full""",False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
FNet,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/fnet,"""google/fnet-base""",False,"""google/fnet-base""",FNet,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/fnet,"""google/fnet-base""",False,"""google/fnet-base""",True,False,False,False,False,False,False,False,False,False,False,False,"""google/fnet-base""",False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
FSMT,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/fsmt,"""facebook/wmt19-en-ru""",False,"""facebook/wmt19-ru-en""",FSMT,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/fsmt,"""facebook/wmt19-en-ru""",False,"""facebook/wmt19-ru-en""",True,False,False,False,False,False,False,False,False,False,False,False,"""facebook/wmt19-en-ru""",False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Funnel Transformer,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/funnel,"""funnel-transformer/small-base""",True,"""funnel-transformer/small-base""",Funnel Transformer,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/funnel,"""funnel-transformer/small-base""",True,"""funnel-transformer/small-base""",False,False,False,False,False,False,False,False,False,False,False,False,"""funnel-transformer/small-base""",True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
GLPN,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/glpn,"""huggingface/cats-image""",False,"""test""",GLPN,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/glpn,"""huggingface/cats-image""",False,"""test""",True,False,False,False,False,False,False,False,False,False,False,False,"""huggingface/cats-image""",False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HerBERT,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/herbert,"""allegro/herbert-klej-cased-tokenizer-v1""",False,"""allegro/herbert-klej-cased-v1""",HerBERT,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/herbert,"""allegro/herbert-klej-cased-tokenizer-v1""",False,"""allegro/herbert-klej-cased-v1""",False,False,False,False,False,False,False,False,False,False,False,False,"""allegro/herbert-klej-cased-tokenizer-v1""",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
I-BERT,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/ibert,"""kssteven/ibert-roberta-base""",False,"""kssteven/ibert-roberta-base""",I-BERT,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/ibert,"""kssteven/ibert-roberta-base""",False,"""kssteven/ibert-roberta-base""",False,False,False,False,False,False,False,False,False,False,False,False,"""kssteven/ibert-roberta-base""",False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ImageGPT,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/imagegpt,"""http://images.cocodataset.org/val2017/000000039769.jpg""",False,"""openai/imagegpt-small""",ImageGPT,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/imagegpt,"""http://images.cocodataset.org/val2017/000000039769.jpg""",False,"""openai/imagegpt-small""",True,False,False,False,False,False,False,False,False,False,False,False,"""http://images.cocodataset.org/val2017/000000039769.jpg""",False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
LayoutLM,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/layoutlm,"""name_of_your_document - can be a png file, pdf, etc.""",False,"""microsoft/layoutlm-base-uncased""",LayoutLM,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/layoutlm,"""name_of_your_document - can be a png file, pdf, etc.""",False,"""microsoft/layoutlm-base-uncased""",True,False,False,False,False,False,False,False,False,False,False,False,"""name_of_your_document - can be a png file, pdf, etc.""",False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
LayoutLMV2,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/layoutlmv2,"""name_of_your_document - can be a png, jpg, etc. of your documents (PDFs must be converted to images).""",False,"""microsoft/layoutlmv2-base-uncased""",LayoutLMV2,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/layoutlmv2,"""name_of_your_document - can be a png, jpg, etc. of your documents (PDFs must be converted to images).""",False,"""microsoft/layoutlmv2-base-uncased""",False,False,False,False,False,False,False,False,False,False,False,False,"""name_of_your_document - can be a png, jpg, etc. of your documents (PDFs must be converted to images).""",False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
LayoutXLM,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/layoutxlm,"""microsoft/layoutxlm-base""",False,"""microsoft/layoutxlm-base""",LayoutXLM,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/layoutxlm,"""microsoft/layoutxlm-base""",False,"""microsoft/layoutxlm-base""",True,False,False,False,False,False,False,False,False,False,False,False,"""microsoft/layoutxlm-base""",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
LED,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/led,"""allenai/led-base-16384""",False,"""allenai/led-base-16384""",LED,https://huggingface.co/docs/transformers/v4.19.4/en/model_doc/led,"""allenai/led-base-16384""",False,"""allenai/led-base-16384""",True,False,False,False,False,False,False,False,False,False,False,False,"""allenai/led-base-16384""",False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
